id,is_iceberg
5941774d,0.5823937
4023181e,0.9953982
b20200e4,6.9889675e-29
e7f018bb,1.0
4371c8c3,0.9999913
a8d9b1fd,1.0780347e-12
29e7727e,8.8852245e-14
92a51ffb,0.99999917
c769ac97,2.888854e-30
aee0547d,1.2744232e-21
565b28ac,5.8138455e-31
e04e9775,0.9999433
8e8161d1,3.4071666e-20
4cf4d256,0.8858402
139e5324,0.00014247096
f156976f,2.306021e-19
68a117cc,0.9815518
d9aa7a56,7.311507e-21
9005b143,0.99990255
5f6d3988,0.9999852
9ad70954,0.0034506686
b9087b9e,0.0011559117
a39a1427,3.4578715e-09
82fbe8ed,6.07823e-13
1fae4879,9.542994e-20
6dd8f13d,2.6949503e-05
bbad5958,2.5318316e-09
54527583,1.2684486e-12
be8fa29c,0.03805779
81a3328f,0.9999996
1a3c0ab3,7.832141e-21
4deeeb8b,0.8038453
ac6d5632,0.9158901
472dadb5,0.9999396
96093f95,0.9672186
f5b4e3df,0.99999994
e01a3c92,2.5908742e-16
001680af,0.9970394
8e639f33,1.5315352e-06
a2c16612,0.9330497
a6d76474,9.6043057e-29
19c47684,2.183265e-14
015827b6,0.9999989
7df7f7ce,0.9995356
0bbf1a3f,0.99911624
636cfbb7,0.11986681
7370030a,0.99999994
43aa97ad,4.7549392e-07
ba2b5e63,1.0
dfdd335b,0.032717146
e79b13dc,0.99993813
dc32b195,0.0008544456
6d868590,0.9999994
75fa59aa,0.99999756
ffe50836,1.6845157e-20
a7bfd784,0.9999952
b3d569e3,1.3860026e-15
6c538c5b,1.2531253e-09
5c7c15f4,3.1666161e-06
0b745139,0.11264777
fd14608e,0.99997455
f0bc8305,0.98917127
a10ccb28,1.0
543304c7,0.9998418
6c3a4078,3.9176284e-22
9b73cc75,0.00026058985
5c6c71b1,9.825661e-08
09ee9186,6.734954e-07
207c35cf,0.99996966
153c813e,1.5488209e-12
5605d58b,0.19064984
642ca396,1.435934e-17
d32d72c0,0.89113814
16646a17,0.999489
384074af,2.0660552e-08
69bf1e8c,0.9996863
9e90a054,0.04795326
89dbe7f7,0.9999885
dbd27d22,0.016430505
a2ea1561,0.5497602
d63402af,0.98972774
1ac8bb92,1.0
8beffca5,0.9894071
46741f3e,1.6649093e-13
e5ee6aa7,0.38419357
5ecd892b,0.99672955
69892166,3.6857854e-11
2f725a81,4.9103673e-11
810abfe4,4.936903e-09
e6f973e6,0.99950564
c60a5c46,0.9952828
c42b9e08,0.9816826
c3f00c23,2.2645754e-05
5307fdb8,0.99999046
3e4f005e,9.53908e-13
4a4cc2e0,0.98323005
9bdd88d1,8.896214e-25
0d832bed,7.468707e-10
14a134fa,6.750151e-23
78a41676,0.0
0bd4658e,1.0
4a311bb0,9.438126e-10
f939c817,1.5995356e-11
956adc4d,0.9999972
f8a119f5,0.41587427
61faa1ad,0.9995698
6725eb3e,0.016041473
17b3a8fd,5.21388e-13
49a88dfc,0.00010466856
2d6ec645,0.9999974
0d4d77ba,0.9989575
3ee672a2,1.0
738b41fd,0.9978773
f7fb320d,0.185299
b42fad18,8.122369e-11
4ab8b00a,0.01633989
f7870f2b,0.0012305618
4978666a,0.9728375
f1b0d6c7,3.0339622e-18
5642407f,1.729727e-20
36d4ff92,0.99987733
4139aba2,0.9766953
7585ce58,0.029517269
33e25984,1.0
ac46f3c9,0.99999833
fc34a5b8,0.5812392
85c36a8f,3.2605854e-05
b2d8a426,0.021456389
13ec60d1,0.01272811
9d440f42,0.98778015
1c0a891e,0.81720173
981c3bc3,1.0
295604f4,0.98256767
16ca16c3,2.968064e-11
b4dda837,0.27427617
88d088ef,1.1783452e-17
1b4fa160,0.99256295
f371bd82,0.9995918
b130a0b7,1.0
ebf1de82,1.0
01e651c3,0.99998623
51b1fecc,0.13827667
fa635a31,2.2892501e-15
97b7d789,0.9646119
2f598053,0.3574649
c0e3e148,0.7871559
cfa175a8,3.7228816e-13
3d7e09d8,0.10557316
44a13d1b,0.87956315
c66b0948,0.76418674
976a6d64,3.3797615e-13
8bbd8909,0.9616928
522890fd,0.9744519
